@date: 2014-06-26
@url: http://www.quanthistling.info/data/source/wipiodeicat1996/dictionary-19-150.html
@source_title: Diccionario Aguaruna ~ Castellano
@source_author: Wipio Deicat, Gerardo
@source_year: 1996
QLCID	HEAD	HEAD_DOCULECT	TRANSLATION	TRANSLATION_DOCULECT	POS
wipiodeicat1996/20/34	aéset	Aguaruna	alargar el tiempo	Castellano	v.
wipiodeicat1996/20/34	aéset	Aguaruna	estirar	Castellano	v.
wipiodeicat1996/20/35	áet	Aguaruna	fruta verde	Castellano	s.
wipiodeicat1996/20/35	áeta	Aguaruna	fruta verde	Castellano	s.
wipiodeicat1996/20/36	aétsatsa	Aguaruna	figura de la persona que cortaba la cabeza de la gente (mito)	Castellano	s.
wipiodeicat1996/20/37	agá	Aguaruna	afuera	Castellano	s.
wipiodeicat1996/20/37	agá	Aguaruna	letrina. (sinón. kuchijá	Castellano	s.
wipiodeicat1996/20/37	agá	Aguaruna	ijápatai)	Castellano	s.
wipiodeicat1996/20/38	ága	Aguaruna	patio	Castellano	s.
wipiodeicat1996/20/38	ága	Aguaruna	terreno limpio alrededor de la casa	Castellano	s.
wipiodeicat1996/20/39	agáekiam	Aguaruna	súngaro	Castellano	s.
wipiodeicat1996/20/39	agáekiam	Aguaruna	doncella	Castellano	s.
wipiodeicat1996/20/39	agáekiampa	Aguaruna	súngaro	Castellano	s.
wipiodeicat1996/20/39	agáekiampa	Aguaruna	doncella	Castellano	s.
wipiodeicat1996/21/1	ágat	Aguaruna	escribir	Castellano	v.
wipiodeicat1996/21/1	ágat	Aguaruna	marcar	Castellano	v.
wipiodeicat1996/21/1	ágat	Aguaruna	labrar figuras en la cerámica	Castellano	v.
wipiodeicat1996/21/2	agátai	Aguaruna	cuaderno	Castellano	s.
wipiodeicat1996/21/2	agátai	Aguaruna	libro de escritura	Castellano	s.
wipiodeicat1996/21/2	agátai	Aguaruna	máquina de escribir	Castellano	s.
wipiodeicat1996/21/2	agátai	Aguaruna	lapicero	Castellano	s.
wipiodeicat1996/21/2	agátai	Aguaruna	lápiz	Castellano	s.
wipiodeicat1996/21/3	agátjamu	Aguaruna	marca	Castellano	s.
wipiodeicat1996/21/4	agáuch	Aguaruna	afuerita (cercano)	Castellano	s.
wipiodeicat1996/21/5	agkáju	Aguaruna	espacioso	Castellano	adj.|s.
wipiodeicat1996/21/5	agkáju	Aguaruna	amplio	Castellano	adj.|s.
wipiodeicat1996/21/5	agkáju	Aguaruna	libre	Castellano	adj.|s.
wipiodeicat1996/21/5	agkáju	Aguaruna	espacio	Castellano	adj.|s.
wipiodeicat1996/21/6	agkán	Aguaruna	desocupado	Castellano	adj.
wipiodeicat1996/21/6	agkán	Aguaruna	deshabitado	Castellano	adj.
wipiodeicat1996/21/6	agkán	Aguaruna	libre	Castellano	adj.
wipiodeicat1996/21/6	agkán	Aguaruna	vacante	Castellano	adj.
wipiodeicat1996/21/6	agkán	Aguaruna	vacío	Castellano	adj.
wipiodeicat1996/21/6	agkán	Aguaruna	independiente	Castellano	adj.
wipiodeicat1996/21/6	agkán	Aguaruna	solo	Castellano	adj.
wipiodeicat1996/21/6	agkán	Aguaruna	tranquilo	Castellano	adj.
wipiodeicat1996/21/7	agkánbaegat	Aguaruna	librarse	Castellano	v.
wipiodeicat1996/21/7	agkánbaegat	Aguaruna	despejar	Castellano	v.
wipiodeicat1996/21/7	agkánmaegat	Aguaruna	librarse	Castellano	v.
wipiodeicat1996/21/7	agkánmaegat	Aguaruna	despejar	Castellano	v.
wipiodeicat1996/21/7	agkánmagat	Aguaruna	librarse	Castellano	v.
wipiodeicat1996/21/7	agkánmagat	Aguaruna	despejar	Castellano	v.
wipiodeicat1996/21/8	agkánchau	Aguaruna	impedido	Castellano	adj.
wipiodeicat1996/21/9	agkánjam	Aguaruna	soltera	Castellano	adj.
wipiodeicat1996/21/9	agkánjam	Aguaruna	sin compromiso	Castellano	adj.
wipiodeicat1996/21/10	agkánmitkat	Aguaruna	despejar	Castellano	v.
wipiodeicat1996/21/10	agkánmitkat	Aguaruna	librar	Castellano	v.
wipiodeicat1996/21/11	agkántu	Aguaruna	desierto	Castellano	s.|adj.
wipiodeicat1996/21/11	agkántu	Aguaruna	espacio	Castellano	s.|adj.
wipiodeicat1996/21/11	agkántu	Aguaruna	espacioso	Castellano	s.|adj.
wipiodeicat1996/21/12	agkáut	Aguaruna	librarse	Castellano	v.
wipiodeicat1996/21/12	agkáut	Aguaruna	ausentarse	Castellano	v.
wipiodeicat1996/21/12	agkáut	Aguaruna	desaparecer	Castellano	v.
wipiodeicat1996/21/13	ágkeasmamtin	Aguaruna	algo parecido a la lanza de chonta	Castellano	s.
wipiodeicat1996/21/13	ágkeasmamtin	Aguaruna	forma de lanza de chonta	Castellano	s.
wipiodeicat1996/21/14	agketút	Aguaruna	guardar para otro	Castellano	v.
wipiodeicat1996/21/14	egketút	Aguaruna	guardar para otro	Castellano	v.
wipiodeicat1996/21/15	ágkuanip	Aguaruna	especie de abeja	Castellano	s.
wipiodeicat1996/21/15	ágkuanipi	Aguaruna	especie de abeja	Castellano	s.
wipiodeicat1996/21/16	agkuántai	Aguaruna	en la tarde	Castellano	adv.
wipiodeicat1996/21/16	agkuántai	Aguaruna	por la tarde	Castellano	adv.
wipiodeicat1996/21/16	agkuántai	Aguaruna	las cuatro de la tarde	Castellano	adv.
wipiodeicat1996/21/17	agkúmjauch	Aguaruna	cría de armadillo	Castellano	s.
wipiodeicat1996/21/18	agkúnip	Aguaruna	calabaza chica	Castellano	s.
wipiodeicat1996/21/18	agkúnip	Aguaruna	cucharón hecho de calabaza	Castellano	s.
wipiodeicat1996/21/18	agkúnipi	Aguaruna	calabaza chica	Castellano	s.
wipiodeicat1996/21/18	agkúnipi	Aguaruna	cucharón hecho de calabaza	Castellano	s.
wipiodeicat1996/21/19	ágkut	Aguaruna	dejar un espacio	Castellano	vt.
wipiodeicat1996/21/19	ágkut	Aguaruna	dejar un vacío	Castellano	vt.
wipiodeicat1996/21/19	ágkat	Aguaruna	dejar un espacio	Castellano	vt.
wipiodeicat1996/21/19	ágkat	Aguaruna	dejar un vacío	Castellano	vt.
wipiodeicat1996/21/20	agséa	Aguaruna	anzuelo	Castellano	s.
wipiodeicat1996/21/21	agséamat	Aguaruna	pescar con anzuelo	Castellano	v.
wipiodeicat1996/21/22	aíchu	Aguaruna	que nunca hubo algo	Castellano	adj.|s.
wipiodeicat1996/21/22	aíchu	Aguaruna	lugar en el que nunca hubo algo	Castellano	adj.|s.
wipiodeicat1996/21/23	aíhaig	Aguaruna	especie de abeja con aguijón	Castellano	s.
wipiodeicat1996/21/24	aíjit	Aguaruna	prohibir la comida	Castellano	v.
wipiodeicat1996/21/24	aíjit	Aguaruna	poner a dieta	Castellano	v.
wipiodeicat1996/21/24	aíjit	Aguaruna	hacer dietar	Castellano	v.
wipiodeicat1996/21/25	áikamu	Aguaruna	vez	Castellano	s.
wipiodeicat1996/21/26	áikat	Aguaruna	hacer	Castellano	v.
wipiodeicat1996/21/26	áikat	Aguaruna	realizar	Castellano	v.
wipiodeicat1996/21/26	áikat	Aguaruna	ejecutar	Castellano	v.
wipiodeicat1996/21/26	áikat	Aguaruna	llevar a cabo	Castellano	v.
wipiodeicat1996/21/26	áikat	Aguaruna	efectuar	Castellano	v.
wipiodeicat1996/21/26	áikat	Aguaruna	obrar	Castellano	v.
wipiodeicat1996/21/27	áikau	Aguaruna	vez	Castellano	s.
wipiodeicat1996/21/28	áikchat	Aguaruna	abstenerse	Castellano	v.
wipiodeicat1996/21/29	aíkit	Aguaruna	hacer lavarse las manos a otro	Castellano	v.
wipiodeicat1996/21/29	aíkit	Aguaruna	hacer defecar a otro	Castellano	v.
wipiodeicat1996/21/30	áikmain	Aguaruna	poderse hacer	Castellano	v.|s.
wipiodeicat1996/21/30	áikmain	Aguaruna	ser posible	Castellano	v.|s.
wipiodeicat1996/21/30	áikmain	Aguaruna	algo que se puede hacer	Castellano	v.|s.
wipiodeicat1996/21/31	áikmainchau	Aguaruna	imposible	Castellano	adj.|s.
wipiodeicat1996/21/31	áikmainchau	Aguaruna	que no se puede hacer	Castellano	adj.|s.
wipiodeicat1996/21/31	áikmainchau	Aguaruna	algo que no se puede hacer	Castellano	adj.|s.
wipiodeicat1996/21/32	aimát	Aguaruna	contestar	Castellano	v.
wipiodeicat1996/21/32	aimát	Aguaruna	responder	Castellano	v.
wipiodeicat1996/21/32	aimát	Aguaruna	aceptar	Castellano	v.
wipiodeicat1996/21/33	aímat	Aguaruna	llenar	Castellano	v.
